trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('change', 'bitmoji', 'outfit')",6
,,"('update', 'keep', 'freezing')",6
,,"('download', 'this', 'application')",6
,,"('old', 'update', 'back')",6
,,"('snapshot', 'hate', 'new')",6
,,"('problem', 'soon', 'possible')",6
,,"('not', 'let', 'update')",6
,,"('android', 'new', 'update')",6
,,"('one', 'please', 'fix')",6
,,"('update', 'not', 'like')",6
,,"('phone', 'please', 'fix')",6
,,"('application', 'android', 'user')",6
,,"('not', 'let', 'go')",6
,,"('update', 'not', 'know')",6
,,"('really', 'annoying', 'not')",6
,,"('update', 'recent', 'update')",6
,,"('trash', 'new', 'update')",6
,,"('want', 'old', 'snapshot')",6
,,"('not', 'put', 'thing')",6
,,"('thing', 'in', 'eye')",6
,,"('story', 'not', 'send')",6
,,"('add', 'photo', 'eye')",6
,,"('fix', 'this', 'hate')",6
,,"('picture', 'not', 'save')",6
,,"('latest', 'update', 'ruined')",6
,,"('last', 'update', 'application')",6
,,"('snap', 'one', 'one')",6
,,"('time', 'not', 'save')",6
,,"('old', 'version', 'not')",6
,,"('not', 'add', 'picture')",6
,,"('view', 'snap', 'sent')",6
,,"('try', 'open', 'application')",6
,,"('fix', 'snapshot', 'not')",6
,,"('take', 'much', 'time')",6
,,"('new', 'update', 'took')",6
,,"('suck', 'not', 'even')",6
,,"('save', 'story', 'also')",6
,,"('not', 'able', 'select')",6
,,"('private', 'story', 'absolutely')",6
,,"('go', 'back', 'previous')",6
,,"('someone', 'sends', 'snap')",6
,,"('update', 'not', 'use')",6
,,"('in', 'memory', 'not')",6
,,"('roll', 'picture', 'eye')",6
,,"('anymore', 'not', 'save')",6
,,"('love', 'new', 'update')",6
,,"('update', 'not', 'getting')",6
,,"('chat', 'please', 'fix')",6
,,"('not', 'post', 'snap')",6
,,"('snap', 'in', 'story')",6
,,"('post', 'anything', 'camera')",6
,,"('not', 'use', 'friendmojis')",6
,,"('snapshot', 'self', 'mode')",6
,,"('trash', 'not', 'save')",6
,,"('back', 'home', 'screen')",6
,,"('annoying', 'new', 'update')",6
,,"('application', 'since', 'last')",6
,,"('new', 'update', 'fix')",6
,,"('not', 'send', 'picture')",6
,,"('eye', 'not', 'save')",6
,,"('like', 'this', 'update')",6
,,"('open', 'application', 'application')",6
,,"('camera', 'quality', 'still')",6
,,"('new', 'snapshot', 'alpha')",6
,,"('snapshot', 'alpha', 'android')",6
,,"('wish', 'could', 'go')",6
,,"('could', 'go', 'back')",6
,,"('stuff', 'camera', 'roll')",6
,,"('application', 'chat', 'not')",6
,,"('chat', 'take', 'long')",6
,,"('not', 'letting', 'use')",6
,,"('new', 'update', 'update')",6
,,"('snap', 'take', 'forever')",6
,,"('this', 'update', 'suck')",6
,,"('ever', 'since', 'got')",6
,,"('update', 'application', 'keep')",6
,,"('not', 'even', 'post')",6
,,"('select', 'one', 'picture')",6
,,"('not', 'save', 'multiple')",6
,,"('log', 'in', 'say')",6
,,"('view', 'people', 'story')",6
,,"('let', 'send', 'video')",6
,,"('video', 'recording', 'failed')",6
,,"('longer', 'second', 'story')",6
,,"('bring', 'back', 'feature')",6
,,"('really', 'bad', 'not')",6
,,"('eye', 'please', 'get')",6
,,"('please', 'get', 'back')",6
,,"('update', 'still', 'not')",6
,,"('let', 'log', 'back')",6
,,"('update', 'please', 'change')",6
,,"('not', 'put', 'photo')",6
,,"('eye', 'also', 'not')",6
,,"('also', 'not', 'like')",6
,,"('flash', 'doe', 'not')",6
,,"('bad', 'bad', 'bad')",6
